N,P,K,temperature,humidity,ph,rainfall,label
98.44,18.14,55.09,25.44,96.97,5.89,20.0,muskmelon
83.77,22.89,54.08,29.63,89.1,6.47,71.36,watermelon
50.3,48.38,55.64,32.73,96.84,7.57,137.17,papaya
52.09,53.29,53.47,31.34,85.43,6.6,104.67,papaya
20.07,145.0,175.42,24.0,95.76,5.68,118.24,apple
21.66,29.89,31.68,30.14,42.29,6.05,76.95,mango
22.68,140.85,205.0,20.99,85.44,5.66,106.08,apple
28.49,52.77,24.29,27.39,58.37,3.76,47.35,mothbeans
21.05,47.38,17.51,30.52,88.13,6.6,87.24,mungbean
17.23,48.95,17.67,20.7,71.71,6.76,66.55,lentil
39.35,64.8,12.63,37.76,56.0,7.15,60.0,blackgram
27.19,5.0,34.14,28.57,99.1,5.66,151.13,coconut
21.58,14.6,34.37,20.99,92.3,6.07,81.28,pomegranate
77.36,49.09,36.85,23.55,74.77,6.86,219.3,jute
25.24,10.57,18.93,29.36,96.01,5.82,166.72,coconut
15.78,16.59,45.57,17.06,91.66,5.29,97.8,pomegranate
21.19,143.5,194.2,21.96,88.26,5.18,74.15,apple
84.21,59.88,23.8,24.55,56.17,6.05,121.52,maize
45.11,68.26,47.55,34.34,89.93,7.05,129.18,papaya
96.8,21.23,57.9,29.92,100.0,6.63,20.03,muskmelon
120.85,35.69,42.49,27.32,54.03,7.37,134.51,coffee
56.19,63.95,51.36,31.89,100.0,6.48,155.14,papaya
21.07,14.63,8.83,22.67,97.73,7.17,130.66,orange
44.48,56.06,50.89,36.9,94.76,6.37,104.86,papaya
53.62,65.96,83.26,20.03,24.88,7.5,62.66,chickpea
97.02,28.19,44.76,24.04,84.69,6.23,220.35,jute
15.07,39.21,15.6,23.25,93.18,6.97,28.07,mungbean
19.59,10.63,5.0,22.28,100.0,7.02,84.98,orange
17.37,65.77,19.72,23.41,45.36,5.47,194.91,pigeonpeas
77.08,39.97,46.8,24.26,74.97,6.05,232.83,rice
16.89,19.65,49.82,17.13,95.96,5.62,125.94,pomegranate
23.5,37.2,22.12,29.96,57.69,3.5,47.99,mothbeans
81.45,44.52,41.27,28.99,73.11,6.8,203.15,jute
17.16,68.95,17.25,22.82,63.68,7.41,41.27,lentil
70.74,51.94,49.83,24.91,83.94,7.23,147.26,jute
39.08,53.08,21.78,25.51,65.82,6.85,56.69,blackgram
71.72,44.2,43.44,22.24,67.96,5.98,115.41,jute
45.19,67.64,76.78,14.04,22.98,6.84,73.68,chickpea
44.52,65.74,83.38,19.53,21.0,6.76,53.08,chickpea
15.5,81.84,23.03,16.1,32.8,5.46,107.9,kidneybeans
47.59,58.54,38.85,35.31,90.19,7.12,183.32,papaya
25.64,25.66,32.9,29.44,57.57,5.04,69.93,mango
44.02,62.76,13.35,36.07,62.8,6.92,79.63,blackgram
71.73,54.59,19.8,20.6,69.76,5.83,76.13,maize
14.39,41.62,20.54,32.36,80.72,7.11,51.2,mungbean
83.6,54.82,19.98,23.15,57.08,5.81,99.84,maize
29.16,73.86,17.08,28.17,53.88,5.66,132.5,pigeonpeas
20.99,23.52,24.16,28.18,91.57,6.34,152.7,coconut
89.27,15.83,64.25,27.69,91.22,6.0,20.0,muskmelon
77.03,43.6,21.1,22.59,66.74,5.85,101.36,maize
40.66,65.3,24.17,32.25,51.38,6.66,86.36,blackgram
88.16,24.45,27.21,24.01,72.55,7.17,157.43,coffee
30.69,136.11,205.0,27.71,81.41,6.59,61.19,grapes
21.62,48.24,18.25,29.05,84.92,6.99,58.41,mungbean
85.82,30.57,21.68,22.76,62.81,6.95,172.07,coffee
13.7,54.48,26.06,22.05,17.53,5.44,103.52,kidneybeans
118.43,48.09,37.55,25.38,79.2,7.17,83.57,cotton
21.92,127.99,201.15,18.63,86.76,5.45,142.41,apple
90.18,82.99,55.81,29.79,75.38,5.82,119.09,banana
34.08,46.26,18.38,28.2,62.8,6.46,98.54,blackgram
106.29,18.35,42.02,26.15,90.95,6.03,35.01,watermelon
31.65,7.21,34.7,24.84,96.55,5.89,127.86,coconut
16.37,65.38,19.88,18.38,65.55,6.57,28.05,lentil
29.35,12.18,13.86,24.98,83.93,6.23,143.51,orange
70.37,68.89,38.58,32.0,89.27,6.7,102.83,papaya
24.58,62.5,25.41,28.35,55.2,6.5,142.33,pigeonpeas
11.14,11.83,13.79,22.04,89.48,7.53,102.25,orange
82.96,36.16,49.0,19.57,77.85,6.37,209.78,rice
104.73,13.08,51.91,27.49,96.47,6.21,20.0,muskmelon
19.76,65.05,17.94,28.47,58.96,5.18,161.78,pigeonpeas
105.03,18.85,47.56,28.6,93.07,6.11,24.21,muskmelon
30.06,15.93,30.18,29.5,100.0,6.07,152.07,coconut
85.4,48.3,37.03,28.0,75.19,7.24,152.76,jute
82.22,80.73,50.52,25.97,82.87,6.05,94.82,banana
38.35,50.08,21.68,27.47,68.42,6.75,93.05,blackgram
46.81,58.01,41.66,30.42,94.53,6.06,149.75,papaya
112.55,85.6,44.37,30.94,88.65,5.44,90.15,banana
107.81,45.36,52.86,22.35,80.05,6.87,51.88,cotton
109.5,8.64,48.3,24.67,90.09,7.1,43.55,watermelon
33.57,16.67,5.0,22.87,88.31,7.21,143.62,orange
113.81,30.38,38.71,30.23,58.27,6.64,122.34,coffee
44.69,71.02,89.86,19.5,14.0,6.99,79.81,chickpea
95.65,48.41,40.1,24.92,87.47,6.39,188.86,rice
22.73,51.56,26.26,31.89,70.47,3.64,52.29,mothbeans
25.52,20.53,9.9,21.07,90.25,7.15,127.8,orange
20.37,17.32,26.46,31.13,50.86,6.15,78.25,mango
103.5,24.55,35.76,22.56,49.53,6.51,142.14,coffee
20.84,50.91,10.16,27.55,48.11,3.56,47.74,mothbeans
53.99,75.28,23.54,32.92,62.36,7.3,62.52,blackgram
18.36,19.47,25.66,19.35,89.18,5.35,67.97,pomegranate
72.77,57.38,21.84,26.2,72.98,6.26,71.64,maize
20.69,56.66,26.76,22.09,41.75,3.5,71.35,mothbeans
116.08,23.44,35.91,22.39,82.49,7.26,59.25,cotton
40.38,54.17,51.88,36.34,94.6,6.31,132.57,papaya
17.5,57.4,21.55,30.99,60.03,5.57,133.54,pigeonpeas
27.66,44.85,18.37,28.53,66.12,3.5,43.36,mothbeans
19.12,65.72,25.3,17.25,14.66,5.34,140.11,kidneybeans
98.6,24.68,22.32,20.01,48.83,6.68,137.82,coffee
50.34,70.98,23.08,26.4,69.32,6.53,45.46,blackgram
16.11,70.99,17.19,15.3,51.31,6.56,47.94,lentil
14.11,12.6,30.85,29.37,90.26,5.96,147.33,coconut
83.61,36.1,54.41,23.05,80.9,6.51,237.38,rice
17.77,14.95,8.7,21.64,84.72,6.4,130.74,orange
105.92,20.49,53.47,31.17,85.24,7.53,20.09,muskmelon
94.2,12.04,56.0,23.34,88.73,6.49,33.65,watermelon
25.63,54.07,21.25,19.19,18.55,5.22,125.47,kidneybeans
80.92,18.68,62.11,24.86,83.44,6.38,56.03,watermelon
95.23,83.58,26.37,29.57,78.68,5.66,113.19,banana
18.61,59.81,26.0,25.55,39.6,5.88,130.78,pigeonpeas
19.86,46.22,14.92,29.14,55.89,3.52,59.57,mothbeans
107.85,79.8,51.12,25.68,76.85,6.69,102.42,banana
59.72,63.15,30.89,15.55,76.86,7.19,119.07,jute
122.66,47.12,44.36,29.26,78.73,6.82,86.96,cotton
10.83,16.21,53.93,18.53,96.15,5.41,114.98,pomegranate
17.26,79.06,13.14,29.53,52.83,5.59,134.67,pigeonpeas
35.59,57.28,85.87,12.37,18.73,7.32,86.53,chickpea
94.96,39.05,30.82,20.39,80.31,7.07,94.49,maize
22.12,13.98,32.48,30.4,100.0,5.84,215.31,coconut
24.59,14.86,44.63,16.3,98.41,6.18,91.35,pomegranate
90.04,63.97,25.7,23.03,85.03,6.0,245.12,rice
21.46,72.43,21.17,29.93,48.64,6.0,183.61,pigeonpeas
16.38,138.3,205.0,19.51,79.07,6.33,73.53,grapes
42.44,59.65,16.82,30.04,55.41,6.52,58.08,blackgram
21.72,22.81,27.48,30.13,100.0,5.75,173.51,coconut
37.02,79.49,79.76,17.75,24.08,6.45,92.02,chickpea
41.54,67.85,14.41,28.18,54.35,6.72,85.79,blackgram
21.27,8.71,29.19,29.83,94.83,6.08,187.41,coconut
88.29,47.65,22.2,20.55,63.05,5.8,87.97,maize
105.59,77.85,49.34,28.14,89.59,5.78,90.97,banana
9.92,55.16,19.47,24.45,52.52,3.5,35.4,mothbeans
100.33,81.55,74.94,27.49,85.15,6.18,90.36,banana
21.15,66.88,13.17,17.85,22.56,6.11,101.98,kidneybeans
8.26,20.61,48.52,20.82,88.75,5.65,99.66,pomegranate
45.3,67.72,80.24,17.69,15.36,7.12,66.11,chickpea
15.17,26.96,38.78,22.42,100.0,6.0,178.91,coconut
25.56,11.67,8.07,26.6,92.16,6.33,124.08,orange
17.25,79.57,17.64,21.39,51.61,5.8,210.41,pigeonpeas
84.78,65.19,44.85,25.18,83.94,6.54,105.15,banana
103.43,85.14,43.8,28.86,78.87,6.48,115.66,banana
13.69,117.35,182.12,20.84,93.58,5.9,63.45,apple
23.36,47.3,12.41,19.93,23.22,5.78,116.26,kidneybeans
96.89,13.36,47.18,26.46,94.53,7.21,34.49,muskmelon
8.04,46.84,26.85,26.54,82.73,7.1,46.63,mungbean
15.61,47.72,20.84,23.88,33.88,3.59,55.67,mothbeans
24.51,14.78,32.47,27.79,89.04,5.67,170.16,coconut
82.73,50.34,17.49,26.72,72.71,7.02,78.26,maize
27.67,127.35,205.0,23.54,89.33,6.07,93.17,apple
30.07,14.0,20.94,24.02,93.9,6.21,168.98,coconut
